Date,country,Province/State,Lat,Long,Confirmed,Recovered,Deaths
2020/1/22,Afghanistan,,33,65,0,0,0
2020/1/23,Afghanistan,,33,65,0,0,0
2020/1/24,Afghanistan,,33,65,0,0,0
2020/1/25,Afghanistan,,33,65,0,0,0
2020/1/26,Afghanistan,,33,65,0,0,0
2020/1/27,Afghanistan,,33,65,0,0,0
2020/1/28,Afghanistan,,33,65,0,0,0
2020/1/29,Afghanistan,,33,65,0,0,0
2020/1/30,Afghanistan,,33,65,0,0,0
2020/1/31,Afghanistan,,33,65,0,0,0
2020/2/1,Afghanistan,,33,65,0,0,0
2020/2/2,Afghanistan,,33,65,0,0,0
2020/2/3,Afghanistan,,33,65,0,0,0
2020/2/4,Afghanistan,,33,65,0,0,0
2020/2/5,Afghanistan,,33,65,0,0,0
2020/2/6,Afghanistan,,33,65,0,0,0
2020/2/7,Afghanistan,,33,65,0,0,0
2020/2/8,Afghanistan,,33,65,0,0,0
2020/2/9,Afghanistan,,33,65,0,0,0
2020/2/10,Afghanistan,,33,65,0,0,0
2020/2/11,Afghanistan,,33,65,0,0,0
2020/2/12,Afghanistan,,33,65,0,0,0
2020/2/13,Afghanistan,,33,65,0,0,0
2020/2/14,Afghanistan,,33,65,0,0,0
2020/2/15,Afghanistan,,33,65,0,0,0
2020/2/16,Afghanistan,,33,65,0,0,0
2020/2/17,Afghanistan,,33,65,0,0,0
2020/2/18,Afghanistan,,33,65,0,0,0
2020/2/19,Afghanistan,,33,65,0,0,0
2020/2/20,Afghanistan,,33,65,0,0,0
2020/2/21,Afghanistan,,33,65,0,0,0
2020/2/22,Afghanistan,,33,65,0,0,0
2020/2/23,Afghanistan,,33,65,0,0,0
2020/2/24,Afghanistan,,33,65,1,0,0
2020/2/25,Afghanistan,,33,65,1,0,0
2020/2/26,Afghanistan,,33,65,1,0,0
2020/2/27,Afghanistan,,33,65,1,0,0
2020/2/28,Afghanistan,,33,65,1,0,0
2020/2/29,Afghanistan,,33,65,1,0,0
2020/3/1,Afghanistan,,33,65,1,0,0
2020/3/2,Afghanistan,,33,65,1,0,0
2020/3/3,Afghanistan,,33,65,1,0,0
2020/3/4,Afghanistan,,33,65,1,0,0
2020/3/5,Afghanistan,,33,65,1,0,0
2020/3/6,Afghanistan,,33,65,1,0,0
2020/3/7,Afghanistan,,33,65,1,0,0
2020/3/8,Afghanistan,,33,65,4,0,0
2020/3/9,Afghanistan,,33,65,4,0,0
2020/3/10,Afghanistan,,33,65,5,0,0
2020/3/11,Afghanistan,,33,65,7,0,0
2020/3/12,Afghanistan,,33,65,7,0,0
2020/3/13,Afghanistan,,33,65,7,0,0
2020/3/14,Afghanistan,,33,65,11,0,0
2020/3/15,Afghanistan,,33,65,16,0,0
2020/3/16,Afghanistan,,33,65,21,1,0
2020/3/17,Afghanistan,,33,65,22,1,0
2020/3/18,Afghanistan,,33,65,22,1,0
2020/3/19,Afghanistan,,33,65,22,1,0
